gcf_id,Category
NRPS_gcf_1440,NRPS
NRPS_gcf_1441,NRPS
NRPS_gcf_1442,NRPS
NRPS_gcf_1443,NRPS
NRPS_gcf_1444,NRPS
NRPS_gcf_1445,NRPS
NRPS_gcf_1446,NRPS
NRPS_gcf_1447,NRPS
NRPS_gcf_1448,NRPS
NRPS_gcf_1449,NRPS
NRPS_gcf_145,NRPS
NRPS_gcf_1450,NRPS
NRPS_gcf_1451,NRPS
NRPS_gcf_1452,NRPS
NRPS_gcf_1453,NRPS
NRPS_gcf_1454,NRPS
NRPS_gcf_1455,NRPS
NRPS_gcf_1456,NRPS
NRPS_gcf_1457,NRPS
NRPS_gcf_1458,NRPS
NRPS_gcf_1459,NRPS
NRPS_gcf_146,NRPS
NRPS_gcf_1460,NRPS
NRPS_gcf_1461,NRPS
NRPS_gcf_1462,NRPS
NRPS_gcf_1463,NRPS
NRPS_gcf_1464,NRPS
NRPS_gcf_1465,NRPS
NRPS_gcf_1466,NRPS
NRPS_gcf_1467,NRPS
NRPS_gcf_1468,NRPS
NRPS_gcf_1469,NRPS
NRPS_gcf_147,NRPS
NRPS_gcf_1470,NRPS
NRPS_gcf_1471,NRPS
NRPS_gcf_1472,NRPS
NRPS_gcf_1473,NRPS
NRPS_gcf_1474,NRPS
NRPS_gcf_1475,NRPS
NRPS_gcf_1476,NRPS
NRPS_gcf_1477,NRPS
NRPS_gcf_1478,NRPS
NRPS_gcf_1479,NRPS
NRPS_gcf_148,NRPS
NRPS_gcf_1480,NRPS
NRPS_gcf_1481,NRPS
NRPS_gcf_1482,NRPS
NRPS_gcf_1483,NRPS
NRPS_gcf_1484,NRPS
NRPS_gcf_1485,NRPS
NRPS_gcf_1486,NRPS
NRPS_gcf_1487,NRPS
NRPS_gcf_1488,NRPS
NRPS_gcf_1489,NRPS
NRPS_gcf_149,NRPS
NRPS_gcf_1490,NRPS
NRPS_gcf_1491,NRPS
NRPS_gcf_1492,NRPS
NRPS_gcf_1493,NRPS
NRPS_gcf_1494,NRPS
NRPS_gcf_1495,NRPS
NRPS_gcf_1496,NRPS
NRPS_gcf_1497,NRPS
NRPS_gcf_1498,NRPS
