V1,V2,V3
-50.8685968819599,-15,268.466522216797
-50.8017817371938,-15,274.066528320312
-50.7349665924276,-15,269.576538085938
-50.6681514476615,-15,290.866516113281
-50.6013363028953,-15,309.486511230469
-50.5345211581292,-15,301.336517333984
-50.467706013363,-15,314.4365234375
-50.4008908685969,-15,358.806518554688
-50.3340757238307,-15,366.04296875
-50.2672605790646,-15,350.092956542969
-50.2004454342984,-15,360.282958984375
-50.1336302895323,-15,368.54296875
-50.0668151447661,-15,418.732971191406
-50,-15,621.092956542969
-80,-15.066765578635,-4526.40087890625
-79.9331848552338,-15.066765578635,-4565.29052734375
-79.8663697104677,-15.066765578635,-4596.78076171875
-79.7995545657016,-15.066765578635,-4613.130859375
-79.7327394209354,-15.066765578635,-4632.47265625
-79.6659242761693,-15.066765578635,-4618.7724609375
-79.5991091314031,-15.066765578635,-4595.37255859375
-79.532293986637,-15.066765578635,-4604.29248046875
-79.4654788418708,-15.066765578635,-4555.87255859375
-79.3986636971047,-15.066765578635,-4546.70263671875
-79.3318485523385,-15.066765578635,-4542.03271484375
-79.2650334075724,-15.066765578635,-4539.052734375
-79.1982182628062,-15.066765578635,-4459.54736328125
-79.1314031180401,-15.066765578635,-4426.05712890625
-79.0645879732739,-15.066765578635,-4393.75732421875
-78.9977728285078,-15.066765578635,-4354.1572265625
-78.9309576837417,-15.066765578635,-4322.1669921875
-78.8641425389755,-15.066765578635,-4198.20703125
-78.7973273942093,-15.066765578635,-4261.00732421875
-78.7305122494432,-15.066765578635,-4257.8271484375
-78.6636971046771,-15.066765578635,-4173.2548828125
-78.5968819599109,-15.066765578635,-4112.1748046875
-78.5300668151448,-15.066765578635,-4196.0546875
-78.4632516703786,-15.066765578635,-4149.99462890625
-78.3964365256125,-15.066765578635,-4063.77465820312
-78.3296213808463,-15.066765578635,-4118.3046875
-78.2628062360802,-15.066765578635,-4120.9345703125
-78.195991091314,-15.066765578635,-4055.24487304688
-78.1291759465479,-15.066765578635,-4109.47509765625
-78.0623608017817,-15.066765578635,-4120.544921875
-77.9955456570156,-15.066765578635,-3985.61499023438
-77.9287305122494,-15.066765578635,-3971.28491210938
-77.8619153674833,-15.066765578635,-3945.09497070312
-77.7951002227172,-15.066765578635,-3912.294921875
-77.728285077951,-15.066765578635,-3919.74487304688
-77.6614699331849,-15.066765578635,-3896.60498046875
-77.5946547884187,-15.066765578635,-3889.84765625
-77.5278396436526,-15.066765578635,-3729.9775390625
-77.4610244988864,-15.066765578635,-3623.3076171875
-77.3942093541203,-15.066765578635,-3607.48754882812
-77.3273942093541,-15.066765578635,-3473.16772460938
-77.260579064588,-15.066765578635,-3487.64770507812
-77.1937639198218,-15.066765578635,-3494.58764648438
-77.1269487750557,-15.066765578635,-3501.02758789062
-77.0601336302895,-15.066765578635,-3589.24243164062
-76.9933184855234,-15.066765578635,-3607.21264648438
-76.9265033407572,-15.066765578635,-3633.87255859375
-76.8596881959911,-15.066765578635,-3694.28247070312
-76.7928730512249,-15.066765578635,-3773.9326171875
-76.7260579064588,-15.066765578635,-3899.29248046875
-76.6592427616927,-15.066765578635,-4183.392578125
-76.5924276169265,-15.066765578635,-4356.8525390625
-76.5256124721604,-15.066765578635,-4759.74755859375
-76.4587973273942,-15.066765578635,-5038.07763671875
-76.3919821826281,-15.066765578635,-4442.767578125
-76.3251670378619,-15.066765578635,-3475.47778320312
-76.2583518930958,-15.066765578635,-3353.35766601562
-76.1915367483296,-15.066765578635,-2972.677734375
