V1,V2,V3
-125.327102803738,30,-4562.42138671875
-125.260347129506,30,-4466.92138671875
-125.193591455274,30,-4389.41162109375
-125.126835781041,30,-4436.29150390625
-125.060080106809,30,-4450.60986328125
-124.993324432577,30,-4431.6796875
-124.926568758344,30,-4449.1298828125
-124.859813084112,30,-4152
-124.79305740988,30,-3856.78979492188
-124.726301735648,30,-4170.86962890625
-124.659546061415,30,-4424.81982421875
-124.592790387183,30,-4510.7099609375
-124.526034712951,30,-4534.43115234375
-124.459279038718,30,-4525.9912109375
-124.392523364486,30,-4489.51123046875
-124.325767690254,30,-4539.37109375
-124.259012016021,30,-4546.31103515625
-124.192256341789,30,-4313.4609375
-124.125500667557,30,-4185.4111328125
-124.058744993324,30,-4045.52099609375
-123.991989319092,30,-3671.22631835938
-123.92523364486,30,-4027.07641601562
-123.858477970628,30,-4432.96630859375
-123.791722296395,30,-4376.1865234375
-123.724966622163,30,-4431.96630859375
-123.658210947931,30,-4547.31640625
-123.591455273698,30,-4242.5361328125
-123.524699599466,30,-4410.24658203125
-123.457943925234,30,-4444.43505859375
-123.391188251001,30,-4274.21484375
-123.324432576769,30,-4163.21484375
-123.257676902537,30,-4115.39501953125
-123.190921228304,30,-4238.05517578125
-123.124165554072,30,-4214.68505859375
-123.05740987984,30,-4061.82495117188
-122.990654205607,30,-4276.52490234375
-122.923898531375,30,-4310.82470703125
-122.857142857143,30,-4312.0146484375
-122.790387182911,30,-4262.77490234375
-122.723631508678,30,-4289.90478515625
-122.656875834446,30,-4282.85498046875
-122.590120160214,30,-4223.4345703125
-122.523364485981,30,-4206.044921875
-122.456608811749,30,-4275.875
-122.389853137517,30,-4246.365234375
-122.323097463284,30,-4165.9453125
-122.256341789052,30,-4090.39526367188
-122.18958611482,30,-4147.35498046875
-122.122830440587,30,-4147.14501953125
-122.056074766355,30,-4133.955078125
-121.989319092123,30,-4107.08544921875
-121.922563417891,30,-4055.20532226562
-121.855807743658,30,-4033.71923828125
-121.789052069426,30,-4141.279296875
-121.722296395194,30,-4233.37890625
-121.655540720961,30,-4112.119140625
-121.588785046729,30,-4115.17919921875
-121.522029372497,30,-4008.55908203125
-121.455273698264,30,-4007.619140625
-121.388518024032,30,-3979.77905273438
-121.3217623498,30,-3966.060546875
-121.255006675567,30,-3936.08056640625
-121.188251001335,30,-3896.65063476562
-121.121495327103,30,-3937.390625
-121.05473965287,30,-3139.00048828125
-120.987983978638,30,-3470.47045898438
-120.921228304406,30,-3678.12060546875
-120.854472630174,30,-3545.00048828125
-120.787716955941,30,-3725.365234375
-120.720961281709,30,-3735.03515625
-120.654205607477,30,-3838.54516601562
-120.587449933244,30,-4061.97534179688
-120.520694259012,30,-3997.83520507812
-120.45393858478,30,-3777.6953125
-120.387182910547,30,-3507.75537109375
-120.320427236315,30,-3543.775390625
-120.253671562083,30,-4026.76025390625
-120.18691588785,30,-3936.7001953125
-120.120160213618,30,-4006.990234375
-120.053404539386,30,-4034.31030273438
-119.986648865154,30,-4029.71020507812
